color1,color2,transformed_color1,transformed_color2,distance,transformed_distance
"(207, 17, 0)","(247, 0, 1)","(91, 69, -2)","(91, 69, -2)",43.4741302386,0.0
"(207, 18, 0)","(250, 0, 1)","(92, 70, -2)","(92, 70, -2)",46.6261729075,0.0
"(207, 18, 0)","(251, 0, 1)","(92, 70, -2)","(92, 70, -2)",47.5499737119,0.0
"(207, 19, 0)","(252, 0, 1)","(92, 71, -2)","(92, 71, -2)",48.8569340012,0.0
"(207, 20, 0)","(253, 0, 1)","(93, 71, -2)","(93, 71, -2)",50.1697119784,0.0
"(207, 20, 0)","(254, 0, 1)","(93, 71, -2)","(93, 71, -2)",51.0881590978,0.0
"(207, 20, 0)","(255, 0, 1)","(93, 71, -2)","(93, 71, -2)",52.0096144958,0.0
"(208, 0, 0)","(206, 0, 0)","(76, 58, -2)","(76, 58, -2)",2.0,0.0
"(208, 0, 0)","(207, 0, 0)","(76, 58, -2)","(76, 58, -2)",1.0,0.0
"(208, 1, 0)","(209, 0, 0)","(77, 59, -2)","(77, 59, -2)",1.41421356237,0.0
"(208, 1, 0)","(209, 0, 1)","(77, 59, -2)","(77, 59, -2)",1.73205080757,0.0
"(208, 1, 0)","(210, 0, 0)","(77, 59, -2)","(77, 59, -2)",2.2360679775,0.0
"(208, 1, 0)","(210, 0, 1)","(77, 59, -2)","(77, 59, -2)",2.44948974278,0.0
"(208, 1, 0)","(211, 0, 1)","(77, 59, -2)","(77, 59, -2)",3.31662479036,0.0
"(208, 2, 0)","(213, 0, 1)","(78, 60, -2)","(78, 60, -2)",5.47722557505,0.0
"(208, 2, 0)","(214, 0, 1)","(78, 60, -2)","(78, 60, -2)",6.40312423743,0.0
"(208, 3, 0)","(215, 0, 1)","(79, 60, -2)","(79, 60, -2)",7.68114574787,0.0
"(208, 4, 0)","(218, 0, 1)","(80, 61, -2)","(80, 61, -2)",10.8166538264,0.0
"(208, 4, 0)","(219, 0, 1)","(80, 61, -2)","(80, 61, -2)",11.7473401245,0.0
"(208, 5, 0)","(220, 0, 1)","(81, 62, -2)","(81, 62, -2)",13.0384048104,0.0
"(208, 5, 0)","(221, 0, 1)","(81, 62, -2)","(81, 62, -2)",13.9642400438,0.0
"(208, 5, 0)","(222, 0, 1)","(81, 62, -2)","(81, 62, -2)",14.8996644258,0.0
"(208, 7, 0)","(223, 0, 1)","(82, 63, -2)","(82, 63, -2)",16.5831239518,0.0
"(208, 7, 0)","(224, 0, 1)","(82, 63, -2)","(82, 63, -2)",17.4928556845,0.0
"(208, 7, 0)","(225, 0, 1)","(82, 63, -2)","(82, 63, -2)",18.4119526395,0.0
"(208, 8, 0)","(227, 0, 1)","(83, 64, -2)","(83, 64, -2)",20.6397674406,0.0
"(208, 9, 0)","(228, 0, 1)","(84, 64, -2)","(84, 64, -2)",21.9544984001,0.0
"(208, 9, 0)","(229, 0, 1)","(84, 64, -2)","(84, 64, -2)",22.8691932521,0.0
"(208, 9, 0)","(230, 0, 1)","(84, 64, -2)","(84, 64, -2)",23.7907545067,0.0
"(208, 10, 0)","(231, 0, 1)","(85, 65, -2)","(85, 65, -2)",25.099800796,0.0
"(208, 10, 0)","(232, 0, 1)","(85, 65, -2)","(85, 65, -2)",26.0192236625,0.0
"(208, 10, 0)","(233, 0, 1)","(85, 65, -2)","(85, 65, -2)",26.9443871706,0.0
"(208, 11, 0)","(234, 0, 1)","(86, 66, -2)","(86, 66, -2)",28.2488937837,0.0
"(208, 11, 0)","(235, 0, 1)","(86, 66, -2)","(86, 66, -2)",29.1719042916,0.0
"(208, 11, 0)","(236, 0, 1)","(86, 66, -2)","(86, 66, -2)",30.0998338866,0.0
"(208, 12, 0)","(237, 0, 1)","(87, 66, -2)","(87, 66, -2)",31.4006369362,0.0
"(208, 13, 0)","(239, 0, 1)","(88, 67, -2)","(88, 67, -2)",33.6303434416,0.0
"(208, 13, 0)","(240, 0, 1)","(88, 67, -2)","(88, 67, -2)",34.5543050863,0.0
"(208, 14, 0)","(241, 0, 1)","(88, 68, -2)","(88, 68, -2)",35.8608421541,0.0
"(208, 15, 0)","(242, 0, 1)","(89, 68, -2)","(89, 68, -2)",37.1752605909,0.0
"(208, 15, 0)","(243, 0, 1)","(89, 68, -2)","(89, 68, -2)",38.0919939095,0.0
"(208, 15, 0)","(244, 0, 1)","(89, 68, -2)","(89, 68, -2)",39.0128184063,0.0
"(208, 16, 0)","(245, 0, 1)","(90, 69, -2)","(90, 69, -2)",40.3236903073,0.0
"(208, 16, 0)","(246, 0, 1)","(90, 69, -2)","(90, 69, -2)",41.2431812546,0.0
"(208, 17, 0)","(248, 0, 1)","(91, 70, -2)","(91, 70, -2)",43.4741302386,0.0
"(208, 17, 0)","(249, 0, 1)","(91, 70, -2)","(91, 70, -2)",44.3959457608,0.0
"(208, 18, 0)","(250, 0, 1)","(92, 70, -2)","(92, 70, -2)",45.7055795281,0.0
"(208, 18, 0)","(251, 0, 1)","(92, 70, -2)","(92, 70, -2)",46.6261729075,0.0
"(208, 19, 0)","(253, 0, 1)","(93, 71, -2)","(93, 71, -2)",48.8569340012,0.0
"(208, 19, 0)","(254, 0, 1)","(93, 71, -2)","(93, 71, -2)",49.7795138586,0.0
"(208, 19, 0)","(255, 0, 1)","(93, 71, -2)","(93, 71, -2)",50.7050293363,0.0
"(209, 0, 0)","(209, 0, 1)","(77, 59, -2)","(77, 59, -2)",1.0,0.0
"(209, 0, 0)","(210, 0, 0)","(77, 59, -2)","(77, 59, -2)",1.0,0.0
"(209, 0, 0)","(210, 0, 1)","(77, 59, -2)","(77, 59, -2)",1.41421356237,0.0
"(209, 0, 0)","(211, 0, 1)","(77, 59, -2)","(77, 59, -2)",2.2360679775,0.0
