color1,color2,distance
"(3, 249, 0)","(0, 249, 0)",3.0
"(3, 249, 0)","(0, 250, 0)",3.16227766017
"(3, 250, 0)","(0, 250, 0)",3.0
"(3, 250, 0)","(0, 251, 0)",3.16227766017
"(3, 251, 0)","(0, 251, 0)",3.0
"(3, 251, 0)","(0, 252, 0)",3.16227766017
"(3, 252, 0)","(0, 252, 0)",3.0
"(3, 252, 0)","(0, 253, 0)",3.16227766017
"(3, 253, 0)","(0, 253, 0)",3.0
"(3, 253, 0)","(0, 254, 0)",3.16227766017
"(3, 254, 0)","(0, 254, 0)",3.0
"(3, 254, 0)","(0, 255, 0)",3.16227766017
"(3, 255, 0)","(0, 255, 0)",3.0
"(4, 128, 0)","(0, 128, 0)",4.0
"(4, 128, 0)","(0, 129, 0)",4.12310562562
"(4, 129, 0)","(0, 129, 0)",4.0
"(4, 129, 0)","(0, 130, 0)",4.12310562562
"(4, 130, 0)","(0, 130, 0)",4.0
"(4, 130, 0)","(0, 131, 0)",4.12310562562
"(4, 131, 0)","(0, 131, 0)",4.0
"(4, 131, 0)","(0, 132, 0)",4.12310562562
"(4, 132, 0)","(0, 132, 0)",4.0
"(4, 132, 0)","(0, 133, 0)",4.12310562562
"(4, 133, 0)","(0, 133, 0)",4.0
"(4, 133, 0)","(0, 134, 0)",4.12310562562
"(4, 134, 0)","(0, 134, 0)",4.0
"(4, 134, 0)","(0, 135, 0)",4.12310562562
"(4, 135, 0)","(0, 135, 0)",4.0
"(4, 135, 0)","(0, 136, 0)",4.12310562562
