color1,color2,transformed_color1,transformed_color2,distance,transformed_distance
"(3, 168, 0)","(0, 170, 0)","(146, 114, 7)","(146, 114, 7)",3.60555127546,0.0
"(3, 170, 0)","(0, 171, 0)","(147, 115, 7)","(147, 115, 7)",3.16227766017,0.0
"(3, 171, 0)","(0, 172, 0)","(148, 116, 7)","(148, 116, 7)",3.16227766017,0.0
"(3, 173, 0)","(0, 174, 0)","(150, 117, 7)","(150, 117, 7)",3.16227766017,0.0
"(3, 177, 0)","(0, 178, 0)","(153, 120, 8)","(153, 120, 8)",3.16227766017,0.0
"(3, 179, 0)","(0, 180, 0)","(155, 121, 8)","(155, 121, 8)",3.16227766017,0.0
"(3, 180, 0)","(0, 181, 0)","(156, 122, 8)","(156, 122, 8)",3.16227766017,0.0
"(3, 181, 0)","(0, 183, 0)","(157, 123, 8)","(157, 123, 8)",3.60555127546,0.0
"(3, 183, 0)","(0, 185, 0)","(159, 124, 8)","(159, 124, 8)",3.60555127546,0.0
"(3, 185, 0)","(0, 186, 0)","(160, 125, 8)","(160, 125, 8)",3.16227766017,0.0
"(3, 186, 0)","(0, 187, 0)","(161, 126, 8)","(161, 126, 8)",3.16227766017,0.0
"(3, 188, 0)","(0, 189, 0)","(163, 127, 8)","(163, 127, 8)",3.16227766017,0.0
"(3, 189, 0)","(0, 190, 0)","(164, 128, 8)","(164, 128, 8)",3.16227766017,0.0
"(3, 189, 0)","(0, 191, 0)","(164, 128, 8)","(164, 128, 8)",3.60555127546,0.0
"(3, 190, 0)","(0, 192, 0)","(165, 129, 8)","(165, 129, 8)",3.60555127546,0.0
"(3, 191, 0)","(0, 192, 0)","(165, 129, 8)","(165, 129, 8)",3.16227766017,0.0
"(3, 192, 0)","(0, 193, 0)","(166, 130, 8)","(166, 130, 8)",3.16227766017,0.0
"(3, 194, 0)","(0, 195, 0)","(168, 131, 8)","(168, 131, 8)",3.16227766017,0.0
"(3, 195, 0)","(0, 196, 0)","(169, 132, 8)","(169, 132, 8)",3.16227766017,0.0
"(3, 199, 0)","(0, 200, 0)","(172, 135, 9)","(172, 135, 9)",3.16227766017,0.0
